id,language,transcript,speech_pitch,speech_energy,mel_mean,mel_std,embedding_dim1,embedding_dim2,emotion
278,Hindi,मैं आपका तकिया सही कर देता हूँ।,151.89,0.77,0.26,0.13,0.57,0.25,Sadness
279,English,Let's try a few stretching exercises.,173.46,0.43,0.33,0.1,0.49,0.21,Fear
280,English,How are you feeling today?,198.93,0.66,0.31,0.13,0.39,0.3,Neutral
281,French,Vous semblez plus détendu aujourd'hui.,168.4,0.66,0.32,0.13,0.37,0.2,Anger
282,Spanish,¿Se siente más relajado ahora?,201.51,0.78,0.25,0.11,0.5,0.22,Neutral
283,French,Nous allons commencer la séance.,165.47,0.69,0.37,0.15,0.52,0.2,Fear
284,Mandarin,你的康复进展很好。,196.16,0.41,0.28,0.11,0.4,0.17,Surprise
285,Hindi,कृपया गहरी साँस लें।,173.15,0.64,0.35,0.14,0.38,0.25,Anger
286,Spanish,Vamos a comenzar la terapia.,241.06,0.52,0.4,0.09,0.47,0.25,Neutral
287,Mandarin,你今天感觉如何？,210.4,0.6,0.36,0.15,0.54,0.2,Neutral
288,Spanish,Déjeme ajustar su almohada para mayor comodidad.,172.68,0.56,0.25,0.08,0.53,0.24,Surprise
289,Spanish,Está progresando bien.,162.53,0.68,0.39,0.09,0.4,0.28,Neutral
290,Hindi,क्या आप बेहतर महसूस कर रहे हैं?,153.26,0.46,0.35,0.13,0.31,0.26,Sadness
291,Hindi,मैं आपका तकिया सही कर देता हूँ।,191.34,0.4,0.29,0.13,0.37,0.29,Sadness
292,Spanish,¿Puede mover el brazo lentamente?,160.89,0.46,0.38,0.15,0.44,0.18,Neutral
293,Mandarin,你可以慢慢移动手臂吗？,228.07,0.74,0.21,0.14,0.39,0.22,Sadness
294,Hindi,कृपया गहरी साँस लें।,198.99,0.76,0.3,0.14,0.58,0.23,Anger
295,Spanish,¿Puede mover el brazo lentamente?,173.28,0.74,0.29,0.13,0.49,0.21,Joy
296,Spanish,Vamos a hacer algunos ejercicios de estiramiento.,203.01,0.49,0.36,0.1,0.59,0.17,Fear
297,Hindi,क्या आप धीरे से अपना हाथ हिला सकते हैं?,249.97,0.69,0.31,0.12,0.45,0.17,Sadness
298,English,You are making good progress.,232.43,0.56,0.21,0.12,0.4,0.25,Neutral
299,French,Veuillez respirer profondément.,234.71,0.62,0.22,0.11,0.4,0.19,Anger
300,French,Vous progressez bien.,150.9,0.73,0.32,0.1,0.56,0.25,Surprise
301,French,Nous allons commencer la séance.,198.37,0.52,0.35,0.12,0.46,0.3,Sadness
302,Hindi,क्या आपको कोई दर्द है?,244.76,0.73,0.36,0.1,0.34,0.28,Joy
303,English,I will record your blood pressure now.,184.8,0.43,0.24,0.13,0.38,0.24,Fear
304,English,How are you feeling today?,249.96,0.64,0.27,0.09,0.4,0.17,Anger
305,Hindi,कृपया गहरी साँस लें।,231.56,0.52,0.4,0.09,0.58,0.22,Anger
306,Spanish,Déjeme ajustar su almohada para mayor comodidad.,237.09,0.43,0.21,0.13,0.46,0.26,Neutral
307,Spanish,Está progresando bien.,192.02,0.74,0.36,0.12,0.33,0.23,Anger
308,Hindi,क्या आप बेहतर महसूस कर रहे हैं?,178.64,0.55,0.34,0.1,0.35,0.28,Neutral
309,Mandarin,我们现在开始治疗。,206.78,0.57,0.32,0.15,0.36,0.22,Sadness
310,Hindi,मैं आपका ब्लड प्रेशर नोट करूँगा।,219.51,0.7,0.3,0.11,0.5,0.3,Sadness
311,Mandarin,你今天看起来更放松。,181.41,0.5,0.27,0.08,0.54,0.18,Neutral
312,French,Veuillez respirer profondément.,199.55,0.78,0.23,0.1,0.33,0.17,Fear
313,English,How are you feeling today?,215.49,0.5,0.26,0.11,0.32,0.17,Sadness
314,English,Let me adjust your pillow for comfort.,216.07,0.52,0.24,0.15,0.42,0.17,Neutral
315,English,Please take a deep breath.,203.74,0.54,0.29,0.14,0.33,0.26,Anger
316,Hindi,आप आज ज़्यादा शांत लग रहे हैं।,155.57,0.49,0.3,0.11,0.54,0.21,Neutral
317,French,Pouvez-vous bouger le bras lentement?,217.25,0.64,0.3,0.13,0.5,0.26,Neutral
318,Hindi,क्या आप बेहतर महसूस कर रहे हैं?,193.85,0.61,0.23,0.11,0.47,0.24,Anger
319,Hindi,मैं आपका ब्लड प्रेशर नोट करूँगा।,152.32,0.64,0.38,0.1,0.44,0.28,Fear
320,Hindi,हम आपकी थेरेपी शुरू करेंगे।,218.8,0.6,0.26,0.1,0.42,0.21,Anger
321,Mandarin,你今天看起来更放松。,210.54,0.57,0.21,0.14,0.45,0.24,Sadness
322,Hindi,मैं आपका तकिया सही कर देता हूँ।,215.72,0.75,0.36,0.09,0.4,0.26,Surprise
323,Spanish,¿Puede mover el brazo lentamente?,159.51,0.65,0.36,0.15,0.51,0.27,Surprise
324,Mandarin,你有疼痛吗？,192.45,0.55,0.27,0.14,0.46,0.2,Surprise
325,Spanish,Está progresando bien.,163.19,0.54,0.25,0.14,0.33,0.28,Joy
326,Spanish,¿Puede mover el brazo lentamente?,233.19,0.77,0.36,0.13,0.48,0.17,Surprise
327,Mandarin,你有疼痛吗？,169.55,0.73,0.33,0.13,0.43,0.19,Surprise
328,French,Je vais enregistrer votre tension artérielle.,228.99,0.43,0.22,0.1,0.32,0.22,Joy
329,English,Do you feel any pain?,217.63,0.58,0.34,0.14,0.5,0.21,Sadness
330,Spanish,Parece más relajado hoy.,180.32,0.45,0.24,0.09,0.52,0.22,Neutral
331,Mandarin,我们现在开始治疗。,168.69,0.76,0.3,0.15,0.37,0.16,Neutral
332,French,Je vais enregistrer votre tension artérielle.,246.97,0.63,0.24,0.11,0.41,0.22,Joy
333,Hindi,आप अच्छी प्रगति कर रहे हैं।,202.47,0.8,0.27,0.1,0.48,0.23,Anger
334,Spanish,Déjeme ajustar su almohada para mayor comodidad.,164.12,0.61,0.22,0.09,0.45,0.19,Neutral
335,Mandarin,你的康复进展很好。,231.29,0.41,0.37,0.11,0.41,0.3,Sadness
336,French,Comment vous sentez-vous aujourd'hui?,238.11,0.78,0.33,0.1,0.5,0.21,Neutral
337,Hindi,मैं आपका ब्लड प्रेशर नोट करूँगा।,229.34,0.54,0.32,0.11,0.53,0.25,Surprise
338,English,Can you move your arm slowly?,173.63,0.49,0.25,0.13,0.44,0.28,Anger
339,English,You seem more relaxed today.,211.63,0.52,0.3,0.14,0.3,0.27,Joy
340,English,Let me adjust your pillow for comfort.,220.58,0.56,0.23,0.14,0.47,0.26,Joy
341,French,Comment vous sentez-vous aujourd'hui?,162.33,0.64,0.38,0.13,0.38,0.22,Joy
342,French,Vous progressez bien.,171.41,0.48,0.26,0.14,0.49,0.26,Joy
343,Mandarin,你今天看起来更放松。,228.27,0.67,0.22,0.1,0.54,0.19,Fear
344,Mandarin,你今天感觉如何？,215.7,0.79,0.2,0.08,0.59,0.22,Anger
345,Hindi,आप अच्छी प्रगति कर रहे हैं।,233.56,0.48,0.32,0.09,0.4,0.29,Sadness
346,Spanish,Por favor respire profundamente.,237.59,0.72,0.37,0.09,0.41,0.28,Surprise
347,English,Do you feel any pain?,179.27,0.45,0.28,0.09,0.37,0.22,Fear
348,English,We will start your therapy now.,210.57,0.73,0.37,0.12,0.55,0.17,Neutral
349,French,Veuillez respirer profondément.,239.96,0.68,0.33,0.13,0.34,0.21,Joy
350,English,I will record your blood pressure now.,239.93,0.78,0.39,0.11,0.46,0.18,Anger
351,English,How are you feeling today?,195.62,0.53,0.27,0.15,0.34,0.29,Joy
352,Spanish,Voy a registrar su presión arterial.,223.39,0.55,0.26,0.11,0.59,0.19,Neutral
353,French,Nous allons commencer la séance.,221.48,0.77,0.3,0.11,0.59,0.17,Sadness
354,Mandarin,我现在记录你的血压。,172.12,0.49,0.2,0.12,0.59,0.18,Joy
355,Hindi,मैं आपका तकिया सही कर देता हूँ।,199.76,0.76,0.33,0.11,0.52,0.19,Surprise
356,English,We will start your therapy now.,191.05,0.66,0.32,0.12,0.58,0.25,Neutral
357,Spanish,¿Tiene algún dolor?,248.41,0.45,0.33,0.12,0.31,0.23,Fear
358,English,Please take a deep breath.,166.4,0.6,0.22,0.1,0.4,0.29,Fear
359,French,Comment vous sentez-vous aujourd'hui?,153.72,0.6,0.35,0.14,0.43,0.16,Joy
360,French,Essayons quelques exercices d'étirement.,212.5,0.48,0.23,0.1,0.33,0.18,Fear
361,Hindi,हम आपकी थेरेपी शुरू करेंगे।,193.32,0.66,0.21,0.1,0.36,0.21,Fear
362,French,Essayons quelques exercices d'étirement.,191.36,0.41,0.33,0.12,0.51,0.22,Joy
363,Hindi,आप आज ज़्यादा शांत लग रहे हैं।,206.88,0.79,0.24,0.09,0.52,0.15,Fear
364,Spanish,Está progresando bien.,187.66,0.75,0.32,0.15,0.46,0.19,Fear
365,Mandarin,让我帮你调整枕头。,221.73,0.45,0.25,0.09,0.42,0.16,Joy
366,French,Pouvez-vous bouger le bras lentement?,220.17,0.45,0.39,0.12,0.42,0.25,Anger
367,Mandarin,你今天看起来更放松。,243.33,0.69,0.29,0.15,0.34,0.21,Anger
368,Hindi,कृपया गहरी साँस लें।,192.51,0.49,0.22,0.11,0.49,0.17,Surprise
369,English,Let me adjust your pillow for comfort.,166.5,0.55,0.35,0.09,0.31,0.28,Anger
370,English,Can you move your arm slowly?,221.42,0.46,0.32,0.09,0.52,0.23,Surprise
371,Spanish,¿Puede mover el brazo lentamente?,175.07,0.66,0.23,0.14,0.45,0.25,Neutral
372,Spanish,Déjeme ajustar su almohada para mayor comodidad.,180.49,0.67,0.28,0.09,0.47,0.18,Fear
373,English,Can you move your arm slowly?,205.9,0.62,0.23,0.14,0.59,0.24,Neutral
374,Spanish,Está progresando bien.,171.97,0.51,0.29,0.11,0.5,0.22,Fear
375,Mandarin,你可以慢慢移动手臂吗？,197.4,0.42,0.4,0.14,0.38,0.18,Fear
376,French,Comment vous sentez-vous aujourd'hui?,186.74,0.44,0.33,0.09,0.37,0.23,Fear
377,English,I will record your blood pressure now.,184.98,0.72,0.22,0.08,0.43,0.18,Anger
378,English,Please take a deep breath.,160.37,0.61,0.29,0.11,0.42,0.24,Neutral
379,English,Please take a deep breath.,189.66,0.78,0.29,0.15,0.33,0.29,Neutral
380,French,Vous progressez bien.,232.29,0.6,0.39,0.09,0.47,0.27,Joy
381,Spanish,¿Se siente más relajado ahora?,228.74,0.61,0.3,0.09,0.36,0.15,Anger
382,Hindi,क्या आपको कोई दर्द है?,185.34,0.62,0.32,0.1,0.38,0.28,Fear
383,French,Essayons quelques exercices d'étirement.,199.96,0.74,0.38,0.08,0.58,0.28,Neutral
384,Hindi,आप अच्छी प्रगति कर रहे हैं।,176.41,0.54,0.3,0.12,0.44,0.15,Anger
385,Mandarin,你可以慢慢移动手臂吗？,176.85,0.5,0.31,0.13,0.45,0.26,Joy
386,Hindi,आप आज ज़्यादा शांत लग रहे हैं।,246.62,0.79,0.31,0.1,0.5,0.21,Fear
387,Spanish,Vamos a hacer algunos ejercicios de estiramiento.,156.81,0.76,0.33,0.09,0.57,0.29,Sadness
388,Mandarin,我现在记录你的血压。,152.48,0.66,0.27,0.08,0.6,0.22,Fear
389,Mandarin,让我帮你调整枕头。,241.83,0.43,0.37,0.09,0.5,0.2,Fear
390,Spanish,¿Tiene algún dolor?,187.24,0.63,0.25,0.1,0.57,0.16,Anger
391,Mandarin,我们来做一些伸展运动。,212.57,0.7,0.29,0.12,0.52,0.22,Joy
392,Hindi,मैं आपका तकिया सही कर देता हूँ।,217.47,0.77,0.36,0.11,0.4,0.19,Sadness
393,Spanish,Por favor respire profundamente.,235.29,0.7,0.36,0.14,0.49,0.19,Neutral
394,French,Vous progressez bien.,232.42,0.76,0.39,0.1,0.51,0.24,Joy
395,Spanish,Déjeme ajustar su almohada para mayor comodidad.,212.85,0.53,0.25,0.12,0.57,0.23,Fear
396,Spanish,Déjeme ajustar su almohada para mayor comodidad.,197.84,0.55,0.23,0.09,0.45,0.18,Surprise
397,English,Can you move your arm slowly?,171.07,0.49,0.32,0.14,0.39,0.29,Joy
398,Hindi,मैं आपका तकिया सही कर देता हूँ।,235.27,0.66,0.38,0.1,0.53,0.21,Neutral
399,Mandarin,你今天看起来更放松。,234.47,0.57,0.21,0.14,0.53,0.16,Fear
400,Spanish,¿Se siente más relajado ahora?,224.92,0.76,0.39,0.08,0.51,0.26,Sadness
401,Hindi,कृपया गहरी साँस लें।,209.86,0.68,0.31,0.15,0.5,0.22,Joy
402,Mandarin,让我帮你调整枕头。,188.69,0.4,0.38,0.14,0.49,0.21,Anger
403,Mandarin,我们来做一些伸展运动。,242.14,0.69,0.28,0.12,0.34,0.29,Joy
404,French,Comment vous sentez-vous aujourd'hui?,208.94,0.56,0.27,0.14,0.32,0.27,Surprise
405,Mandarin,你今天感觉如何？,187.22,0.77,0.39,0.08,0.31,0.15,Fear
406,English,We will start your therapy now.,227.23,0.59,0.38,0.12,0.35,0.17,Neutral
407,French,Veuillez respirer profondément.,225.67,0.61,0.27,0.1,0.52,0.21,Neutral
408,French,Vous semblez plus détendu aujourd'hui.,223.81,0.72,0.34,0.1,0.55,0.25,Anger
409,English,How are you feeling today?,225.76,0.73,0.39,0.12,0.58,0.24,Surprise
410,Mandarin,我们来做一些伸展运动。,242.9,0.54,0.34,0.11,0.49,0.21,Sadness
411,Hindi,क्या आप बेहतर महसूस कर रहे हैं?,226.88,0.44,0.37,0.14,0.55,0.24,Neutral
412,Spanish,Vamos a comenzar la terapia.,202.29,0.53,0.29,0.12,0.4,0.3,Joy
413,Mandarin,你今天看起来更放松。,161.08,0.56,0.27,0.14,0.44,0.18,Joy
414,Hindi,क्या आपको कोई दर्द है?,192.01,0.43,0.25,0.11,0.58,0.3,Sadness
415,Mandarin,让我帮你调整枕头。,150.39,0.53,0.3,0.11,0.42,0.22,Anger
416,Spanish,Voy a registrar su presión arterial.,249.38,0.41,0.25,0.12,0.39,0.18,Neutral
417,Hindi,आप आज ज़्यादा शांत लग रहे हैं।,157.71,0.7,0.37,0.13,0.44,0.22,Joy
418,Spanish,Por favor respire profundamente.,183.86,0.61,0.4,0.14,0.34,0.29,Joy
419,Hindi,मैं आपका ब्लड प्रेशर नोट करूँगा।,217.94,0.74,0.39,0.11,0.42,0.18,Anger
420,Mandarin,我们现在开始治疗。,223.62,0.66,0.27,0.09,0.38,0.24,Joy
421,Mandarin,我们来做一些伸展运动。,236.37,0.67,0.35,0.09,0.41,0.17,Anger
422,Hindi,आप अच्छी प्रगति कर रहे हैं।,229.1,0.6,0.29,0.1,0.36,0.3,Surprise
423,English,Can you move your arm slowly?,152.28,0.59,0.39,0.13,0.57,0.26,Joy
424,English,Let's try a few stretching exercises.,232.09,0.8,0.25,0.09,0.45,0.15,Joy
425,Spanish,Voy a registrar su presión arterial.,214.93,0.79,0.28,0.1,0.35,0.21,Surprise
426,Spanish,Déjeme ajustar su almohada para mayor comodidad.,168.77,0.6,0.35,0.13,0.4,0.15,Sadness
427,Hindi,आइए कुछ स्ट्रेचिंग व्यायाम करें।,174.83,0.7,0.34,0.14,0.6,0.23,Sadness
428,Hindi,आइए कुछ स्ट्रेचिंग व्यायाम करें।,194.29,0.79,0.33,0.14,0.4,0.25,Surprise
429,Spanish,¿Se siente más relajado ahora?,204.09,0.51,0.35,0.1,0.59,0.27,Neutral
430,French,Vous semblez plus détendu aujourd'hui.,206.5,0.7,0.24,0.12,0.58,0.2,Surprise
431,French,Comment vous sentez-vous aujourd'hui?,245.05,0.57,0.28,0.11,0.43,0.24,Surprise
432,Mandarin,我们现在开始治疗。,232.12,0.57,0.25,0.11,0.36,0.17,Neutral
433,French,Je vais enregistrer votre tension artérielle.,236.48,0.59,0.21,0.1,0.34,0.18,Sadness
434,French,Je vais enregistrer votre tension artérielle.,191.54,0.53,0.29,0.15,0.54,0.18,Joy
435,Mandarin,你今天看起来更放松。,174.34,0.44,0.39,0.1,0.55,0.18,Anger
436,English,I will record your blood pressure now.,241.83,0.71,0.25,0.09,0.52,0.27,Fear
437,Spanish,Vamos a comenzar la terapia.,248.98,0.53,0.32,0.12,0.35,0.23,Fear
438,Mandarin,你今天看起来更放松。,180.3,0.69,0.2,0.14,0.58,0.18,Surprise
439,Hindi,मैं आपका ब्लड प्रेशर नोट करूँगा।,204.44,0.74,0.23,0.11,0.38,0.3,Fear
440,Hindi,क्या आप धीरे से अपना हाथ हिला सकते हैं?,248.76,0.76,0.27,0.11,0.47,0.24,Neutral
441,English,Please take a deep breath.,231.59,0.63,0.31,0.15,0.49,0.19,Fear
442,French,Laissez-moi ajuster votre oreiller pour plus de confort.,209.12,0.57,0.23,0.09,0.5,0.16,Surprise
443,Spanish,Parece más relajado hoy.,183.65,0.52,0.37,0.1,0.36,0.27,Fear
444,Mandarin,让我帮你调整枕头。,212.11,0.7,0.37,0.14,0.41,0.24,Joy
445,Spanish,Parece más relajado hoy.,177.69,0.56,0.3,0.1,0.4,0.15,Fear
446,English,You are making good progress.,187.88,0.67,0.24,0.08,0.36,0.29,Neutral
447,Hindi,क्या आपको कोई दर्द है?,153.28,0.4,0.2,0.12,0.52,0.25,Surprise
448,Spanish,¿Se siente más relajado ahora?,162.13,0.52,0.26,0.08,0.39,0.29,Surprise
449,Spanish,¿Se siente más relajado ahora?,216.14,0.66,0.38,0.08,0.54,0.22,Joy
450,English,Let me adjust your pillow for comfort.,212.36,0.46,0.38,0.14,0.33,0.16,Fear
451,English,Can you move your arm slowly?,178.03,0.44,0.35,0.09,0.35,0.27,Sadness
452,French,Laissez-moi ajuster votre oreiller pour plus de confort.,240.06,0.52,0.35,0.13,0.45,0.2,Sadness
453,Spanish,Parece más relajado hoy.,249.63,0.4,0.39,0.15,0.3,0.16,Neutral
454,Spanish,Vamos a comenzar la terapia.,184.4,0.55,0.26,0.14,0.46,0.25,Sadness
455,English,Let's try a few stretching exercises.,186.56,0.6,0.3,0.1,0.49,0.27,Anger
456,Hindi,आप आज ज़्यादा शांत लग रहे हैं।,230.0,0.68,0.31,0.12,0.54,0.24,Fear
457,Mandarin,请深呼吸。,235.77,0.7,0.35,0.13,0.42,0.15,Neutral
458,French,Essayons quelques exercices d'étirement.,212.53,0.58,0.37,0.11,0.34,0.28,Surprise
459,Mandarin,你今天感觉如何？,183.24,0.64,0.25,0.09,0.32,0.28,Surprise
460,French,Pouvez-vous bouger le bras lentement?,181.71,0.73,0.27,0.11,0.46,0.24,Anger
461,English,Do you feel any pain?,150.54,0.63,0.28,0.13,0.38,0.16,Sadness
462,Hindi,कृपया गहरी साँस लें।,247.16,0.76,0.39,0.08,0.32,0.25,Fear
463,French,Vous progressez bien.,216.26,0.43,0.22,0.14,0.44,0.21,Anger
464,Hindi,आप अच्छी प्रगति कर रहे हैं।,220.37,0.51,0.21,0.1,0.33,0.26,Anger
465,Spanish,Voy a registrar su presión arterial.,160.02,0.66,0.35,0.12,0.4,0.26,Joy
466,Hindi,आइए कुछ स्ट्रेचिंग व्यायाम करें।,239.15,0.75,0.38,0.1,0.51,0.23,Fear
467,Spanish,¿Se siente más relajado ahora?,151.02,0.4,0.32,0.09,0.47,0.23,Neutral
468,Mandarin,你可以慢慢移动手臂吗？,227.73,0.47,0.27,0.12,0.55,0.23,Anger
469,Hindi,आप अच्छी प्रगति कर रहे हैं।,227.91,0.48,0.23,0.12,0.56,0.28,Joy
470,Spanish,Está progresando bien.,244.3,0.48,0.32,0.1,0.35,0.19,Fear
471,French,Vous semblez plus détendu aujourd'hui.,165.96,0.5,0.32,0.13,0.35,0.22,Fear
472,French,Laissez-moi ajuster votre oreiller pour plus de confort.,218.75,0.5,0.25,0.09,0.47,0.17,Neutral
473,French,Laissez-moi ajuster votre oreiller pour plus de confort.,191.08,0.77,0.25,0.09,0.33,0.2,Neutral
474,Mandarin,你的康复进展很好。,192.04,0.73,0.38,0.12,0.37,0.23,Anger
475,French,Laissez-moi ajuster votre oreiller pour plus de confort.,202.54,0.59,0.25,0.08,0.59,0.28,Joy
476,English,How are you feeling today?,191.69,0.55,0.22,0.12,0.3,0.23,Fear
477,Spanish,Está progresando bien.,241.83,0.77,0.33,0.14,0.42,0.22,Joy
478,Mandarin,你的康复进展很好。,237.31,0.62,0.29,0.14,0.52,0.24,Surprise
479,Spanish,Vamos a comenzar la terapia.,165.63,0.6,0.25,0.11,0.35,0.17,Joy
480,Spanish,¿Tiene algún dolor?,225.72,0.61,0.31,0.14,0.34,0.25,Joy
481,Hindi,आप अच्छी प्रगति कर रहे हैं।,245.27,0.43,0.34,0.12,0.58,0.26,Joy
482,English,You are making good progress.,172.58,0.47,0.37,0.14,0.38,0.25,Fear
483,French,Vous semblez plus détendu aujourd'hui.,173.49,0.71,0.36,0.1,0.46,0.19,Anger
484,Hindi,क्या आप धीरे से अपना हाथ हिला सकते हैं?,235.89,0.67,0.33,0.12,0.52,0.22,Anger
485,French,Veuillez respirer profondément.,229.84,0.69,0.26,0.08,0.34,0.23,Neutral
486,Mandarin,我们现在开始治疗。,202.59,0.72,0.3,0.12,0.53,0.24,Joy
487,Mandarin,你今天看起来更放松。,198.37,0.75,0.32,0.11,0.4,0.18,Fear
488,French,Vous progressez bien.,241.88,0.54,0.23,0.12,0.31,0.22,Joy
489,Hindi,क्या आपको कोई दर्द है?,239.96,0.6,0.25,0.09,0.48,0.23,Surprise
490,Spanish,Parece más relajado hoy.,181.72,0.71,0.33,0.1,0.41,0.22,Neutral
